Id,Nro víctimas,Año,Mes,Día,Hora estandar,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Hora,Rol,Sexo,Edad,FECHA_FALLECIMIENTO,BARRIOS,AREA
2019-0080,1,2019,Septiembre,Martes,18,GRAL PAZ,SI,"CABILDO AV. y PAZ, GRAL. AV.",13,-58.47617802,-34.53825652,PEATON-MOTO,PEATON,MOTO,18,PEATON,MASCULINO,76,9/17/2019,BELGRANO - COLEGIALES - NUÑEZ,14713213.1821
2019-0081,1,2019,Septiembre,Lunes,16,AVENIDA,NO,ELCANO AV. 4300,15,-58.46141281,-34.58623761,PEATON-PASAJEROS,PEATON,PASAJEROS,16,PEATON,MASCULINO,67,10/7/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0082,1,2019,Septiembre,Miércoles,7,AVENIDA,NO,"RABANAL, FRANCISCO, INTENDENTE AV. 2428",8,-58.42985146,-34.6611974,BICICLETA-CARGAS,BICICLETA,CARGAS,7,CICLISTA,MASCULINO,47,9/25/2019,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2019-0083,1,2019,Septiembre,Jueves,8,CALLE,SI,MONTE y CORVALAN,9,-58.48457413,-34.6583909,AUTO-AUTO,AUTO,AUTO,8,CONDUCTOR,MASCULINO,73,9/26/2019,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2019-0084,1,2019,Septiembre,Viernes,11,CALLE,SI,TANDIL y LAFUENTE,7,-58.46572884,-34.63628186,BICICLETA-CARGAS,BICICLETA,CARGAS,11,CICLISTA,FEMENINO,40,9/27/2019,FLORES - PARQUE CHACABUCO,12422900.8308
2019-0085,1,2019,Octubre,Miércoles,22,CALLE,SI,CARDOSO y BACACAY,10,-58.49261744,-34.6341913,BICICLETA-TREN,BICICLETA,TREN,22,CICLISTA,MASCULINO,20,10/9/2019,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,12656556.9378
2019-0086,1,2019,Octubre,Martes,14,AVENIDA,NO,CORRIENTES AV. 6700,15,-58.45283186,-34.5884156,MOTO-PASAJEROS,MOTO,PASAJEROS,14,CONDUCTOR,MASCULINO,29,10/15/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0087,1,2019,Octubre,Lunes,21,AVENIDA,SI,ALVAREZ THOMAS AV. y MENDOZA,12,-58.47973681,-34.57418656,MOTO-MOTO,MOTO,MOTO,21,CONDUCTOR,MASCULINO,41,10/21/2019,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,15570926.6376
2019-0088,1,2019,Octubre,Martes,20,AVENIDA,SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,20,PEATON,MASCULINO,27,10/22/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0089,1,2019,Octubre,Miércoles,15,AVENIDA,SI,"BROWN, ALTE. AV. y BLANES, JUAN MANUEL",4,-58.36244648,-34.63107887,PEATON-CARGAS,PEATON,CARGAS,15,PEATON,FEMENINO,92,10/23/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0090,1,2019,Octubre,Jueves,18,AVENIDA,NO,"ALBERDI, JUAN BAUTISTA AV. 5455",9,-58.49962423,-34.64868027,PEATON-MOTO,PEATON,MOTO,18,PEATON,MASCULINO,67,10/26/2019,LINIERS - MATADEROS - PARQUE AVELLANEDA,16505305.7861
2019-0091,1,2019,Noviembre,Viernes,20,AVENIDA,SI,"JUSTO, JUAN B. AV. y CAMARGO",15,-58.44551437,-34.59559816,PEATON-PASAJEROS,PEATON,PASAJEROS,20,PEATON,MASCULINO,35,11/1/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0092,1,2019,Noviembre,Domingo,10,CALLE,SI,"BRIN, MINISTRO y SUAREZ",4,-58.35608181,-34.63420319,PEATON-PASAJEROS,PEATON,PASAJEROS,10,PEATON,MASCULINO,37,11/3/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
